MsgCounter,Roll,Pitch,Yaw,Roll_Setpoint,Pitch_Setpoint,Yaw_Setpoint,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Battery,Temperature,Longitude,Latitude
242,11.75,-7.19,300.25,0.00,0.00,180.00,0.148,0.121,0.841,93.88,-29.00,-67.69,8.06,29.0,25856.0000000,57600.0000000
244,9.88,-14.00,300.94,0.00,0.00,180.00,0.138,0.278,0.912,-24.06,27.75,44.88,8.07,41.5,25856.0000000,57600.0000000
245,9.06,-9.88,296.75,0.00,0.00,180.00,0.181,0.189,0.901,-40.31,15.50,50.94,8.07,41.5,25856.0000000,57600.0000000
247,7.88,-5.00,290.50,0.00,0.00,180.00,0.120,0.068,1.002,13.00,2.50,7.19,8.07,41.5,25856.0000000,57600.0000000
250,6.19,-17.62,292.88,0.00,0.00,180.00,0.110,0.337,0.931,38.12,23.31,-3.06,8.07,41.5,25856.0000000,57600.0000000
251,3.88,-19.38,291.25,0.00,0.00,180.00,0.001,0.438,0.911,0.88,34.00,33.50,8.07,41.5,25856.0000000,57600.0000000
253,2.06,-16.00,279.06,0.00,0.00,180.00,0.065,0.258,0.872,-12.06,27.00,55.19,8.07,41.5,25856.0000000,57600.0000000
255,0.44,-12.69,268.19,0.00,0.00,180.00,-0.088,0.353,0.933,-46.69,19.44,71.06,8.07,41.5,25856.0000000,57600.0000000
0,0.94,-5.00,259.94,0.00,0.00,180.00,-0.198,0.142,0.926,-109.12,-12.25,103.06,8.07,41.5,25856.0000000,57600.0000000
1,3.25,7.88,249.00,0.00,0.00,180.00,0.003,-0.148,0.805,-137.19,-29.12,117.75,8.07,41.5,25856.0000000,57600.0000000
2,2.44,18.25,241.75,0.00,0.00,180.00,0.093,-0.388,0.945,-95.75,-0.56,60.56,8.07,41.5,25856.0000000,57600.0000000
3,-0.38,23.25,239.44,0.00,0.00,180.00,0.045,-0.355,0.875,-19.81,34.31,-12.31,8.07,41.5,25856.0000000,57600.0000000
4,-3.44,23.75,242.62,0.00,0.00,180.00,-0.086,-0.354,1.018,9.19,40.69,-33.06,8.07,41.5,25856.0000000,57600.0000000
5,-3.56,21.19,248.94,0.00,0.00,180.00,-0.043,-0.326,0.948,47.81,23.69,-63.38,8.07,41.5,25856.0000000,57600.0000000
